OBJECTID,GEOID,NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
1,53033000101,"Census Tract 1.01, King County, Washington",3433,2129,236,167,69,29,29,0,0,0,0,42,0,42,87,80,7,17,17,0,57,44,13,0,0,0,1,1,0,297,130,167,32,16,16,506,203,303,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.01
2,53033000102,"Census Tract 1.02, King County, Washington",4437,3306,421,286,135,33,33,0,16,16,0,0,0,0,32,32,0,63,40,23,225,92,133,0,0,0,99,33,66,137,19,118,9,0,9,96,96,0,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",1.02
3,53033000201,"Census Tract 2.01, King County, Washington",4391,2877,424,261,163,0,0,0,27,27,0,57,16,41,155,155,0,186,51,135,308,308,0,30,30,0,68,35,33,30,30,0,35,0,35,194,108,86,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.01
4,53033000202,"Census Tract 2.02, King County, Washington",3757,2783,114,114,0,0,0,0,16,16,0,15,0,15,262,147,115,41,41,0,196,131,65,0,0,0,0,0,0,156,72,84,0,0,0,174,127,47,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",2.02
5,53033000300,"Census Tract 3, King County, Washington",2792,2168,24,24,0,0,0,0,48,48,0,21,21,0,56,56,0,0,0,0,87,18,69,138,54,84,32,24,8,123,94,29,72,72,0,23,23,0,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",3
6,53033000402,"Census Tract 4.02, King County, Washington",5232,4360,182,137,45,71,24,47,149,149,0,0,0,0,53,25,28,33,33,0,129,57,72,37,29,8,184,154,30,34,19,15,0,0,0,0,0,0,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.02
7,53033000403,"Census Tract 4.03, King County, Washington",3078,2703,40,19,21,0,0,0,0,0,0,55,0,55,33,16,17,5,5,0,47,41,6,36,36,0,146,84,62,13,0,13,0,0,0,0,0,0,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.03
8,53033000404,"Census Tract 4.04, King County, Washington",3713,2419,143,60,83,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,85,26,59,50,16,34,31,12,19,104,52,52,0,0,0,878,190,688,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",4.04
9,53033000500,"Census Tract 5, King County, Washington",2981,2751,43,37,6,23,23,0,15,15,0,0,0,0,33,17,16,7,7,0,30,30,0,0,0,0,57,50,7,13,0,13,0,0,0,9,9,0,5Y20,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5
10,53033000601,"Census Tract 6.01, King County, Washington",4400,3172,76,6,70,26,26,0,17,17,0,0,0,0,208,208,0,48,0,48,372,109,263,0,0,0,49,33,16,12,12,0,12,0,12,408,149,259,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6.01
11,53033000602,"Census Tract 6.02, King County, Washington",3476,2488,247,88,159,0,0,0,0,0,0,6,6,0,296,216,80,14,3,11,215,23,192,26,26,0,43,16,27,22,16,6,42,0,42,77,33,44,5Y20,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst",6.02
